Example,Commodity Title
"ADERANT Expert Back Office, Powered by Keystone",Enterprise resource planning ERP software
ADP software,Enterprise resource planning ERP software
Automatic Data Processing PC payroll for windows PCPW,Human resources software
Corel QuattroPro,Spreadsheet software
Deltek professional services software,Enterprise resource planning ERP software
Exact Software Macola ES,Enterprise resource planning ERP software
Hyperion Enterprise,Accounting software
Hyperion Solutions System 9 Planning,Enterprise resource planning ERP software
IBM Lotus 1-2-3,Spreadsheet software
Infor ERP SyteLine,Enterprise resource planning ERP software
Job costing software,Accounting software
Microsoft Dynamics SL,Enterprise resource planning ERP software
MYOB Premier Accounting Small Business Suite,Accounting software
Oracle Hyperion Planning,Financial analysis software
Sage Fixed Asset Solution FAS,Accounting software
Sage MIP Fund Accounting,Accounting software
Autodesk AutoCAD Blue Sky,Computer aided design CAD software
Financial accounting software,Accounting software
Microsoft MapPoint,Map creation software
Microsoft Power BI,Business intelligence and data analysis software
Portfolio analysis software,Financial analysis software
ReadSoft,Document management software
Risk analysis software,Analytical or scientific software
Statistical analysis software,Analytical or scientific software
SunGard Financial Systems AddVantage,Financial analysis software
ABB Optimize IT Predict & Control,Facilities management software
AVEVA InTouch HMI,Industrial control software
Citect IIM,Industrial control software
CitectSCADA Reports,Industrial control software
Clockware,Human resources software
Computer aided design CAD software,Computer aided design CAD software
Computer integrated manufacturing CIM software,Calendar and scheduling software
Computer integrated manufacturing CIM time manager software,Human resources software
Computer integrated manufacturing CIM warehouse shipping manager software,Inventory management software
Computerized maintenance management system CMMS,Facilities management software
Distributed control system DCS,Industrial control software
Employee performance management system,Human resources software
Employee scheduling software,Calendar and scheduling software
Exact Software JobBOSS,Data base user interface and query software
Financial planning software,Financial analysis software
IBM Rational ClearQuest,Development environment software
Industrial production manager and stock control software,Industrial control software
Landfill gas analysis software,Analytical or scientific software
Landtec System Software LFG Pro,Analytical or scientific software
Marel production system MPS,Industrial control software
Plant management software,Facilities management software
ProcessPro Premier,Enterprise resource planning ERP software
Prosys Open Platform Communications unified architecture software,Industrial control software
PTC Creo Parametric,Computer aided design CAD software
QUMAS quality management solution software,Document management software
Scadex Technologies MAESTRO,Data base user interface and query software
Schneider Electric CitectSCADA,Industrial control software
Statistical process control SPC software,Industrial control software
WorkSchedule.net,Calendar and scheduling software
WorkTech MAXIMO,Enterprise resource planning ERP software
Abbott Informatics STARLIMS:LIMS,Analytical or scientific software
ASI DATAMYTE GageMetrics,Industrial control software
ASI DATAMYTE QDA,Industrial control software
ASIDATAMYTE DataMetrics,Industrial control software
CAMA Software Quality Collaboration By Design QCBD,Industrial control software
CEBOS MQ1 software,Industrial control software
Computing Solutions LabSoft LIMS,Analytical or scientific software
Core Informatics Laboratory Information Management System LIMS,Analytical or scientific software
EtQ Reliance,Compliance software
Harrington Group caWeb,Data base user interface and query software
Harrington Group HQMS,Industrial control software
Hewlett Packard LoadRunner,Program testing software
Illumina Laboratory Information Management System LIMS,Analytical or scientific software
Infinity QS ProFicient,Industrial control software
Lablite Laboratory Information Management Systems LIMS,Analytical or scientific software
Laboratory Automated Quality Control Systems LAQC,Industrial control software
Labvantage Solutions LIMS,Analytical or scientific software
MasterControl software,Risk management data and analysis software
Pearson Education PHStat2,Analytical or scientific software
PQ Systems CHARTrunner Lean,Industrial control software
PQ Systems GAGEpack,Industrial control software
PQ Systems MEASUREspy,Industrial control software
PQ Systems SQCpack,Analytical or scientific software
Promium Element DataSystem LIMS,Analytical or scientific software
Quality Systems International WinLIMS,Analytical or scientific software
Selenium,Program testing software
Sparta Systems TrackWise,Compliance software
Statgraphics,Analytical or scientific software
Systat Software LISA.lims,Analytical or scientific software
Thermo Fisher Scientific Laboratory Information Management Systems LIMS,Analytical or scientific software
Vivaldi Software Vivaldi Quality Management,Industrial control software
Data logging software,Data base user interface and query software
Infostat RIMBase,Data base user interface and query software
Personnel scheduling software,Calendar and scheduling software
Human machine interface HMI software,Industrial control software
Inventory control software,Inventory management software
Apache Kafka,Development environment software
Automated purchase order software,Procurement software
Bottomline Technologies Bottomline Sprinter Purchasing Manager,Procurement software
Bowen & Groves M1 ERP,Enterprise resource planning ERP software
Corel Paradox,Data base user interface and query software
Epicor Vantage ERP,Enterprise resource planning ERP software
Infor Lawson Supply Chain Management,Materials requirements planning logistics and supply chain software
Materials requirement planning MRP software,Materials requirements planning logistics and supply chain software
Oracle PeopleSoft Enterprise Financial Management Solutions,Financial analysis software
Oracle Primavera P6 Enterprise Portfolio Project Management,Project management software
Purchasing software,Procurement software
PurchasingNet eProcurement,Procurement software
SAP Ariba,Procurement software
3PL Central,Materials requirements planning logistics and supply chain software
ABOL Manifest Systems,Label making software
Airline global distribution systems GDS software,Data base user interface and query software
Aljex Inventory,Inventory management software
ALK Technologies FleetSuite,Route navigation software
ALK Technologies PC*Miler,Route navigation software
Amber Road,Materials requirements planning logistics and supply chain software
Argos Software ABECAS Insight FMS,Accounting software
Autodesk AutoCAD Civil 3D,Computer aided design CAD software
Automated expense reporting system software,Accounting software
Bentley Transportation Data Manager,Data base user interface and query software
Cadre Technologies Accuplus Integrated Distribution Logistics System,Materials requirements planning logistics and supply chain software
Cadre Technologies Cadence Transportation Management System,Materials requirements planning logistics and supply chain software
Cadre Technologies Cadence Warehouse Management System,Materials requirements planning logistics and supply chain software
Catalyst International CatalystConnect,Materials requirements planning logistics and supply chain software
CoPilot Truck,Route navigation software
DSA Foxware Warehouse Management,Inventory management software
Eaton Fleet Advisor,Analytical or scientific software
ESRI ArcLogistics,Geographic information system
FedEx Ship Manager,Materials requirements planning logistics and supply chain software
